Interface usage;;;;;
TotalNumberOfAddActions;28;;;;
TotalNumberOfTotalChangeActions;7;;;;
TotalNumberOfManualChangeActions;2;;;;
TotalNumberOfAutomatedChangeActions;5;;;;
TotalNumberOfRemoveActions;2;;;;
Time spent;;;;;
TotalTimeSpent;30679494827;;;;
TimeSpentTotalPerLocation;;;;;
throneroom1;0;;;;
bedroomprincess1;7529861586;;;;
guestroom1;0;;;;
diningroom1;0;;;;
kitchen1;0;;;;
prison1;3680426687;;;;
corridor1;2855975791;;;;
TimeSpentOnActionsPerLocation;;;;;
Location;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions
throneroom1;2250705232;859797551;859797551;521137637;0
bedroomprincess1;2740212218;623753028;623753028;0;0
guestroom1;0;0;0;0;0
diningroom1;0;0;0;0;0
kitchen1;0;0;0;0;0
prison1;1545745541;731983138;731983138;0;443497717
corridor1;1762810693;581090796;0;581090796;0
Semantic usage;;;;;
TimesATangibleObjectIsUsed;;;;;
floor;7;;;;
throne;2;;;;
king;1;;;;
princess;4;;;;
prince;1;;;;
chair;2;;;;
table;3;;;;
bed;1;;;;
beddresser;1;;;;
dresser;1;;;;
type1closet;1;;;;
sofa;2;;;;
faucet;1;;;;
writingdesk;1;;;;
poison;1;;;;
TimesARelationshipIsUsed;;;;;
on;2;;;;
on;6;;;;
on;2;;;;
left;1;;;;
on;3;;;;
on;1;;;;
on;1;;;;
on;1;;;;
on;1;;;;
on;2;;;;
on;1;;;;
on;1;;;;
on;1;;;;
UsageOfTangibleObjectsPerLocation;;;;;
throneroom1;floor;1;;;
throneroom1;throne;2;;;
throneroom1;king;1;;;
throneroom1;princess;1;;;
throneroom1;prince;1;;;
throneroom1;chair;1;;;
throneroom1;table;1;;;
bedroomprincess1;floor;1;;;
bedroomprincess1;bed;1;;;
bedroomprincess1;beddresser;1;;;
bedroomprincess1;dresser;1;;;
bedroomprincess1;type1closet;1;;;
bedroomprincess1;sofa;2;;;
bedroomprincess1;table;1;;;
bedroomprincess1;faucet;1;;;
bedroomprincess1;chair;1;;;
bedroomprincess1;writingdesk;1;;;
bedroomprincess1;poison;1;;;
bedroomprincess1;princess;1;;;
guestroom1;floor;1;;;
diningroom1;floor;1;;;
kitchen1;floor;1;;;
prison1;floor;1;;;
prison1;princess;1;;;
prison1;table;1;;;
corridor1;floor;1;;;
corridor1;princess;1;;;
UsageOfRelationshipsPerLocation;;;;;
throneroom1;on;2;;;
throneroom1;on;3;;;
throneroom1;on;1;;;
throneroom1;left;1;;;
throneroom1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;2;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
corridor1;on;1;;;
