Interface usage;;;;;
TotalNumberOfAddActions;46;;;;
TotalNumberOfTotalChangeActions;19;;;;
TotalNumberOfManualChangeActions;4;;;;
TotalNumberOfAutomatedChangeActions;15;;;;
TotalNumberOfRemoveActions;1;;;;
Time spent;;;;;
TotalTimeSpent;34224896656;;;;
TimeSpentTotalPerLocation;;;;;
throneroom1;6475564608;;;;
bedroomprincess1;4175072983;;;;
guestroom1;0;;;;
diningroom1;0;;;;
kitchen1;0;;;;
prison1;3355676981;;;;
corridor1;4201174420;;;;
TimeSpentOnActionsPerLocation;;;;;
Location;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions
throneroom1;3049514827;2139418152;2007139517;132278635;0
bedroomprincess1;2801466865;880027321;880027321;0;0
guestroom1;0;0;0;0;0
diningroom1;0;0;0;0;0
kitchen1;0;0;0;0;0
prison1;1282293298;491413833;491413833;0;208565351
corridor1;2426838081;891452004;350782501;669171865;0
Semantic usage;;;;;
TimesATangibleObjectIsUsed;;;;;
floor;7;;;;
throne;1;;;;
chair;5;;;;
table;5;;;;
king;1;;;;
princess;4;;;;
prince;2;;;;
maiden;2;;;;
cupprince;1;;;;
cupprincess;1;;;;
cupking;1;;;;
poison;2;;;;
bed;2;;;;
beddresser;2;;;;
dresser;1;;;;
faucet;1;;;;
type1closet;2;;;;
sofa;3;;;;
type2closet;2;;;;
writingdesk;1;;;;
TimesARelationshipIsUsed;;;;;
on;1;;;;
on;5;;;;
right;1;;;;
left;1;;;;
on;5;;;;
left;3;;;;
on;9;;;;
on;3;;;;
on;1;;;;
on;2;;;;
on;2;;;;
on;1;;;;
on;1;;;;
on;4;;;;
on;3;;;;
on;1;;;;
on;1;;;;
UsageOfTangibleObjectsPerLocation;;;;;
throneroom1;floor;1;;;
throneroom1;throne;1;;;
throneroom1;chair;2;;;
throneroom1;table;3;;;
throneroom1;king;1;;;
throneroom1;princess;1;;;
throneroom1;prince;1;;;
throneroom1;maiden;1;;;
throneroom1;cupprince;1;;;
throneroom1;cupprincess;1;;;
throneroom1;cupking;1;;;
throneroom1;poison;1;;;
bedroomprincess1;floor;1;;;
bedroomprincess1;bed;1;;;
bedroomprincess1;table;2;;;
bedroomprincess1;beddresser;2;;;
bedroomprincess1;dresser;1;;;
bedroomprincess1;faucet;1;;;
bedroomprincess1;chair;2;;;
bedroomprincess1;type1closet;2;;;
bedroomprincess1;sofa;3;;;
bedroomprincess1;type2closet;1;;;
bedroomprincess1;poison;1;;;
bedroomprincess1;princess;1;;;
guestroom1;floor;1;;;
diningroom1;floor;1;;;
kitchen1;floor;1;;;
prison1;floor;1;;;
prison1;bed;1;;;
prison1;writingdesk;1;;;
prison1;chair;1;;;
prison1;princess;1;;;
corridor1;floor;1;;;
corridor1;type2closet;1;;;
corridor1;maiden;1;;;
corridor1;prince;1;;;
corridor1;princess;1;;;
UsageOfRelationshipsPerLocation;;;;;
throneroom1;on;1;;;
throneroom1;on;2;;;
throneroom1;right;1;;;
throneroom1;left;1;;;
throneroom1;on;3;;;
throneroom1;left;3;;;
throneroom1;on;4;;;
throneroom1;on;3;;;
throneroom1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;2;;;
bedroomprincess1;on;2;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;2;;;
bedroomprincess1;on;3;;;
bedroomprincess1;on;3;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
corridor1;on;1;;;
corridor1;on;3;;;
