Interface usage;;;;;
TotalNumberOfAddActions;24;;;;
TotalNumberOfTotalChangeActions;4;;;;
TotalNumberOfManualChangeActions;2;;;;
TotalNumberOfAutomatedChangeActions;2;;;;
TotalNumberOfRemoveActions;1;;;;
Time spent;;;;;
TotalTimeSpent;24609597637;;;;
TimeSpentTotalPerLocation;;;;;
throneroom1;0;;;;
bedroomprincess1;1333455879;;;;
guestroom1;0;;;;
diningroom1;0;;;;
kitchen1;0;;;;
prison1;5448449470;;;;
corridor1;3798315919;;;;
TimeSpentOnActionsPerLocation;;;;;
Location;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions
throneroom1;735797082;0;0;0;0
bedroomprincess1;458302092;388339837;388339837;0;0
guestroom1;0;0;0;0;0
diningroom1;0;0;0;0;0
kitchen1;0;0;0;0;0
prison1;1318720473;2264245165;2264245165;0;525828977
corridor1;1864493293;324389853;0;1356330942;0
Semantic usage;;;;;
TimesATangibleObjectIsUsed;;;;;
floor;7;;;;
throne;3;;;;
prince;1;;;;
princess;4;;;;
king;2;;;;
chair;2;;;;
table;1;;;;
poison;1;;;;
dresser;1;;;;
beddresser;1;;;;
faucet;1;;;;
writingdesk;1;;;;
bed;1;;;;
type1closet;1;;;;
sofa;1;;;;
TimesARelationshipIsUsed;;;;;
on;3;;;;
on;7;;;;
on;2;;;;
right;1;;;;
on;1;;;;
on;1;;;;
on;1;;;;
on;1;;;;
on;1;;;;
on;1;;;;
on;1;;;;
on;1;;;;
on;1;;;;
UsageOfTangibleObjectsPerLocation;;;;;
throneroom1;floor;1;;;
throneroom1;throne;2;;;
throneroom1;prince;1;;;
throneroom1;princess;1;;;
throneroom1;king;1;;;
throneroom1;chair;1;;;
bedroomprincess1;floor;1;;;
bedroomprincess1;table;1;;;
bedroomprincess1;poison;1;;;
bedroomprincess1;dresser;1;;;
bedroomprincess1;princess;1;;;
bedroomprincess1;beddresser;1;;;
bedroomprincess1;faucet;1;;;
guestroom1;floor;1;;;
diningroom1;floor;1;;;
kitchen1;floor;1;;;
prison1;floor;1;;;
prison1;princess;1;;;
prison1;chair;1;;;
prison1;writingdesk;1;;;
corridor1;floor;1;;;
corridor1;bed;1;;;
corridor1;princess;1;;;
corridor1;throne;1;;;
corridor1;type1closet;1;;;
corridor1;sofa;1;;;
corridor1;king;1;;;
UsageOfRelationshipsPerLocation;;;;;
throneroom1;on;2;;;
throneroom1;on;3;;;
throneroom1;on;1;;;
throneroom1;right;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
corridor1;on;1;;;
corridor1;on;2;;;
corridor1;on;1;;;
corridor1;on;1;;;
corridor1;on;1;;;
