Interface usage;;;;;
TotalNumberOfAddActions;20;;;;
TotalNumberOfTotalChangeActions;9;;;;
TotalNumberOfManualChangeActions;3;;;;
TotalNumberOfAutomatedChangeActions;6;;;;
TotalNumberOfRemoveActions;1;;;;
Time spent;;;;;
TotalTimeSpent;35092034184;;;;
TimeSpentTotalPerLocation;;;;;
throneroom1;2845680470;;;;
bedroomprincess1;2014105633;;;;
guestroom1;0;;;;
diningroom1;0;;;;
kitchen1;0;;;;
prison1;5246347037;;;;
corridor1;5703155052;;;;
TimeSpentOnActionsPerLocation;;;;;
Location;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions
throneroom1;1311972397;771741905;771741905;0;0
bedroomprincess1;1283459120;287918622;287918622;0;0
guestroom1;0;0;0;0;0
diningroom1;0;0;0;0;0
kitchen1;0;0;0;0;0
prison1;2187953063;481343413;481343413;0;377622701
corridor1;3535547435;229578442;229578442;603678706;0
Semantic usage;;;;;
TimesATangibleObjectIsUsed;;;;;
floor;7;;;;
throne;1;;;;
king;1;;;;
prince;1;;;;
princess;4;;;;
chair;3;;;;
type1closet;1;;;;
bed;3;;;;
dresser;1;;;;
poison;1;;;;
sofa;1;;;;
writingdesk;1;;;;
beddresser;1;;;;
TimesARelationshipIsUsed;;;;;
on;1;;;;
on;6;;;;
on;3;;;;
left;1;;;;
on;1;;;;
on;3;;;;
on;1;;;;
on;1;;;;
on;1;;;;
back;1;;;;
on;1;;;;
on;1;;;;
back;1;;;;
UsageOfTangibleObjectsPerLocation;;;;;
throneroom1;floor;1;;;
throneroom1;throne;1;;;
throneroom1;king;1;;;
throneroom1;prince;1;;;
throneroom1;princess;1;;;
throneroom1;chair;1;;;
throneroom1;type1closet;1;;;
bedroomprincess1;floor;1;;;
bedroomprincess1;bed;1;;;
bedroomprincess1;dresser;1;;;
bedroomprincess1;poison;1;;;
bedroomprincess1;princess;1;;;
bedroomprincess1;sofa;1;;;
bedroomprincess1;chair;1;;;
bedroomprincess1;writingdesk;1;;;
guestroom1;floor;1;;;
diningroom1;floor;1;;;
kitchen1;floor;1;;;
prison1;floor;1;;;
prison1;princess;1;;;
prison1;bed;1;;;
prison1;chair;1;;;
prison1;beddresser;1;;;
corridor1;floor;1;;;
corridor1;bed;1;;;
corridor1;princess;1;;;
UsageOfRelationshipsPerLocation;;;;;
throneroom1;on;1;;;
throneroom1;on;3;;;
throneroom1;on;1;;;
throneroom1;left;1;;;
throneroom1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;back;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
prison1;back;1;;;
corridor1;on;1;;;
corridor1;on;1;;;
