Interface usage;;;;;
TotalNumberOfAddActions;25;;;;
TotalNumberOfTotalChangeActions;14;;;;
TotalNumberOfManualChangeActions;4;;;;
TotalNumberOfAutomatedChangeActions;10;;;;
TotalNumberOfRemoveActions;1;;;;
Time spent;;;;;
TotalTimeSpent;24277714739;;;;
TimeSpentTotalPerLocation;;;;;
throneroom1;3805329808;;;;
bedroomprincess1;7223471356;;;;
guestroom1;0;;;;
diningroom1;0;;;;
kitchen1;0;;;;
prison1;2607260961;;;;
corridor1;2658985785;;;;
TimeSpentOnActionsPerLocation;;;;;
Location;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions
throneroom1;1045183391;1973292597;1973292597;0;0
bedroomprincess1;1802241168;1089209631;1089209631;0;0
guestroom1;0;0;0;0;0
diningroom1;0;0;0;0;0
kitchen1;0;0;0;0;0
prison1;913319383;470734684;470734684;0;0
corridor1;1020819150;309742529;309742529;0;0
Semantic usage;;;;;
TimesATangibleObjectIsUsed;;;;;
floor;7;;;;
throne;2;;;;
chair;4;;;;
king;1;;;;
prince;1;;;;
princess;4;;;;
beddresser;2;;;;
bed;2;;;;
dresser;1;;;;
poison;1;;;;
writingdesk;1;;;;
table;2;;;;
sofa;1;;;;
TimesARelationshipIsUsed;;;;;
on;2;;;;
on;4;;;;
left;1;;;;
right;1;;;;
on;6;;;;
on;2;;;;
on;2;;;;
on;1;;;;
on;1;;;;
on;1;;;;
on;2;;;;
on;1;;;;
UsageOfTangibleObjectsPerLocation;;;;;
throneroom1;floor;1;;;
throneroom1;throne;2;;;
throneroom1;chair;2;;;
throneroom1;king;1;;;
throneroom1;prince;1;;;
throneroom1;princess;1;;;
bedroomprincess1;floor;1;;;
bedroomprincess1;beddresser;2;;;
bedroomprincess1;bed;1;;;
bedroomprincess1;dresser;1;;;
bedroomprincess1;princess;1;;;
bedroomprincess1;poison;1;;;
bedroomprincess1;writingdesk;1;;;
bedroomprincess1;chair;1;;;
guestroom1;floor;1;;;
diningroom1;floor;1;;;
kitchen1;floor;1;;;
prison1;floor;1;;;
prison1;chair;1;;;
prison1;princess;1;;;
prison1;bed;1;;;
prison1;table;1;;;
corridor1;floor;1;;;
corridor1;princess;1;;;
corridor1;table;1;;;
corridor1;sofa;1;;;
UsageOfRelationshipsPerLocation;;;;;
throneroom1;on;2;;;
throneroom1;on;2;;;
throneroom1;left;1;;;
throneroom1;right;1;;;
throneroom1;on;3;;;
bedroomprincess1;on;2;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
corridor1;on;1;;;
corridor1;on;1;;;
corridor1;on;1;;;
