Interface usage;;;;;
TotalNumberOfAddActions;20;;;;
TotalNumberOfTotalChangeActions;10;;;;
TotalNumberOfManualChangeActions;1;;;;
TotalNumberOfAutomatedChangeActions;9;;;;
TotalNumberOfRemoveActions;1;;;;
Time spent;;;;;
TotalTimeSpent;22427821532;;;;
TimeSpentTotalPerLocation;;;;;
throneroom1;2856985276;;;;
bedroomprincess1;3549389879;;;;
guestroom1;0;;;;
diningroom1;0;;;;
kitchen1;0;;;;
prison1;3162584790;;;;
corridor1;4533026868;;;;
TimeSpentOnActionsPerLocation;;;;;
Location;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions
throneroom1;1304559663;537415754;537415754;0;0
bedroomprincess1;877949791;0;0;0;0
guestroom1;0;0;0;0;0
diningroom1;0;0;0;0;0
kitchen1;0;0;0;0;0
prison1;1068589202;229529964;229529964;0;472639636
corridor1;2580872917;810148262;312507978;497640284;0
Semantic usage;;;;;
TimesATangibleObjectIsUsed;;;;;
floor;7;;;;
throne;1;;;;
chair;4;;;;
king;1;;;;
prince;1;;;;
princess;4;;;;
table;2;;;;
poison;1;;;;
bed;1;;;;
beddresser;1;;;;
writingdesk;1;;;;
faucet;1;;;;
sofa;1;;;;
TimesARelationshipIsUsed;;;;;
on;1;;;;
on;4;;;;
right;2;;;;
on;6;;;;
on;2;;;;
on;1;;;;
on;1;;;;
on;1;;;;
back;1;;;;
on;1;;;;
on;1;;;;
left;1;;;;
on;1;;;;
UsageOfTangibleObjectsPerLocation;;;;;
throneroom1;floor;1;;;
throneroom1;throne;1;;;
throneroom1;chair;2;;;
throneroom1;king;1;;;
throneroom1;prince;1;;;
throneroom1;princess;1;;;
bedroomprincess1;floor;1;;;
bedroomprincess1;table;1;;;
bedroomprincess1;princess;1;;;
bedroomprincess1;poison;1;;;
bedroomprincess1;bed;1;;;
bedroomprincess1;beddresser;1;;;
guestroom1;floor;1;;;
diningroom1;floor;1;;;
kitchen1;floor;1;;;
prison1;floor;1;;;
prison1;writingdesk;1;;;
prison1;faucet;1;;;
prison1;princess;1;;;
prison1;chair;1;;;
corridor1;floor;1;;;
corridor1;princess;1;;;
corridor1;table;1;;;
corridor1;chair;1;;;
corridor1;sofa;1;;;
UsageOfRelationshipsPerLocation;;;;;
throneroom1;on;1;;;
throneroom1;on;2;;;
throneroom1;right;2;;;
throneroom1;on;3;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;back;1;;;
prison1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
corridor1;on;1;;;
corridor1;on;1;;;
corridor1;on;1;;;
corridor1;left;1;;;
corridor1;on;1;;;
